Movie Name,Rating,Votes,Duration (Min),Genre
A Complete Unknown,7.3,91000,141,Biography
I'm Still Here,8.2,112000,137,Biography
Better Man,7.6,32000,135,Biography
The Apprentice,7.1,60000,122,Biography
Saturday Night,6.9,33000,109,Biography
Queer,6.4,23000,137,Biography
Maria,6.4,21000,124,Biography
Queen of the Ring,6.3,2100,129,Biography
William Tell,5.7,3100,134,Biography
Ordinary Angels,7.4,16000,118,Biography
Nr. 24,7.5,16000,111,Biography
The Bibi Files,7.5,1300,115,Biography
Young Woman and the Sea,7.5,18000,129,Biography
Back to Black,6.3,27000,122,Biography
The Fire Inside,6.7,3000,109,Biography
Piece by Piece,6.9,6000,93,Biography
Reagan,6.1,12000,141,Biography
The Beach Boys,7.1,2200,113,Biography
Unfrosted,5.5,35000,97,Biography
Joy,7.1,9900,115,Biography
Bob Marley: One Love,6.2,35000,107,Biography
Pavements,7.2,335,128,Biography
Amaran,8.1,19000,167,Biography
Harbin,6.2,947,108,Biography
Boléro,6.6,877,120,Biography
Cabrini,7.3,9100,142,Biography
Scoop,6.5,21000,102,Biography
The Remarkable Life of Ibelin,8.2,13000,103,Biography
Saint-Exupéry,5.4,495,98,Biography
Bonhoeffer: Pastor. Spy. Assassin.,6.2,3900,133,Biography
The Great Lillian Hall,7.3,2100,110,Biography
El 47,7.2,3600,110,Biography
Winner,6.5,2700,103,Biography
Being Maria,6.1,764,100,Biography
Chandu Champion,7.9,34000,142,Biography
One to One: John & Yoko,7.3,597,101,Biography
Monsieur Aznavour,7.3,2800,133,Biography
Maharaj,6.6,15000,131,Biography
Super/Man: The Christopher Reeve Story,8.0,9600,104,Biography
Faith of Angels,5.8,281,98,Biography
Goebbels and the Führer,6.7,2600,135,Biography
Music by John Williams,8.2,5000,105,Biography
Liza: A Truly Terrific Absolutely True Story,7.6,450,104,Biography
Rob Peace,6.5,2200,120,Biography
"From Hilde, with Love",6.9,1100,125,Biography
Riefenstahl,7.1,804,115,Biography
Marco,6.8,1400,101,Biography
La casa,6.9,974,83,Biography
Elton John: Never Too Late,6.5,2000,102,Biography
Bir Cumhuriyet Sarkisi,7.4,1300,128,Biography
