Movie Name,Rating,Votes,Duration (Min),Genre
No Other Land,8.3,14000,92,Documentary
2073,5.0,3200,85,Documentary
The Bibi Files,7.5,1300,115,Documentary
The Beach Boys,7.1,2200,113,Documentary
Pavements,7.2,335,128,Documentary
Will & Harper,7.4,12000,114,Documentary
Secret Mall Apartment,7.3,521,91,Documentary
The Remarkable Life of Ibelin,8.2,13000,103,Documentary
Sugarcane,7.0,3400,107,Documentary
Architecton,6.5,400,98,Documentary
Lover Stalker Killer,7.0,14000,90,Documentary
One to One: John & Yoko,7.3,597,101,Documentary
Cheech & Chong's Last Movie,7.2,458,120,Documentary
The Program,7.1,841,102,Documentary
The Menendez Brothers,7.0,9700,119,Documentary
Super/Man: The Christopher Reeve Story,8.0,9600,104,Documentary
Afternoons of Solitude,7.3,709,125,Documentary
Behind the Lines,9.0,23,107,Documentary
Moses,8.3,124,127,Documentary
The Bloody Hundredth,7.5,2700,62,Documentary
Black Box Diaries,7.5,3700,102,Documentary
Harley Flanagan: Wired for Chaos,6.2,22,99,Documentary
Music by John Williams,8.2,5000,105,Documentary
Soundtrack to a Coup d'Etat,7.8,3200,150,Documentary
Liza: A Truly Terrific Absolutely True Story,7.6,450,104,Documentary
Brats,6.5,7000,92,Documentary
Am I Racist?,6.7,17000,100,Documentary
Billy & Molly: An Otter Love Story,8.0,2000,77,Documentary
Every Little Thing,7.1,314,93,Documentary
Buy Now! The Shopping Conspiracy,6.7,6700,84,Documentary
Riefenstahl,7.1,804,115,Documentary
Beatles '64,7.2,2700,106,Documentary
A Photographic Memory,7.4,28,87,Documentary
Yacht Rock: A Dockumentary,7.6,1900,95,Documentary
Tom Petty: Heartbreakers Beach Party,7.3,285,84,Documentary
The Greatest Night in Pop,7.9,15000,96,Documentary
Witches,7.4,1300,90,Documentary
Elton John: Never Too Late,6.5,2000,102,Documentary
The Blue Angels,7.2,2800,93,Documentary
Giannis: The Marvelous Journey,8.3,1800,109,Documentary
Daughters,7.5,1700,108,Documentary
Dahomey,6.8,2800,68,Documentary
Antidote,7.5,141,89,Documentary
The Last Journey,7.8,5400,95,Documentary
Avicii - I'm Tim,7.7,7400,95,Documentary
The Thinking Game,7.6,279,84,Documentary
Frida,7.5,1500,87,Documentary
Jim Henson: Idea Man,7.7,3900,111,Documentary
Bambi: A Tale of Life in the Woods,5.6,245,78,Documentary
El Apocalipsis de San Juan,6.8,206,110,Documentary
