Movie name,Ratings,Voting counts,Duration,Genre
The Unholy Trinity,6.1,424,95,Action
Gladiator II,6.5,251000,148,Action
Dune: Part Two,8.5,641000,166,Action
Venom: The Last Dance,6.0,129000,110,Action
The Beekeeper,6.3,162000,105,Action
Civil War,7.0,243000,109,Action
Twisters,6.5,175000,122,Action
The Ministry of Ungentlemanly Warfare,6.8,139000,122,Action
Deadpool & Wolverine,7.5,506000,128,Action
Kraven the Hunter,5.5,63000,127,Action
Carry-On,6.5,171000,119,Action
The Fall Guy,6.8,226000,126,Action
Furiosa: A Mad Max Saga,7.5,291000,148,Action
Madame Web,4.0,103000,116,Action
Freaky Tales,6.2,7100,107,Action
Cells at Work!,6.7,725,109,Action
Sonic the Hedgehog 3,6.9,64000,110,Action
The Count of Monte-Cristo,7.6,37000,178,Action
Dirty Angels,4.4,4000,104,Action
Rebel Ridge,6.8,91000,131,Action
Fight or Flight,6.4,14000,102,Action
Borderlands,4.7,50000,101,Action
Transformers One,7.6,54000,104,Action
Argylle,5.6,94000,139,Action
Godzilla x Kong: The New Empire,6.0,124000,115,Action
Road House,6.2,170000,121,Action
Kingdom of the Planet of the Apes,6.8,155000,145,Action
Elevation,5.6,24000,91,Action
Damsel,6.1,111000,110,Action
Bad Boys: Ride or Die,6.5,102000,115,Action
Absolution,5.2,8800,112,Action
The Prosecutor,6.6,2600,117,Action
The Union,5.4,54000,107,Action
Maharaja,8.4,70000,141,Action
Land of Bad,6.6,52000,113,Action
The Crow,4.7,37000,111,Action
Red One,6.3,142000,123,Action
The Lord of the Rings: The War of the Rohirrim,6.3,33000,134,Action
The Instigators,6.2,39000,101,Action
Kung Fu Panda 4,6.3,70000,94,Action
Homestead,5.2,4100,112,Action
Survive,4.6,3100,90,Action
Drive-Away Dolls,5.4,24000,84,Action
Monkey Man,6.8,93000,121,Action
The Killer,5.7,14000,126,Action
The Shadow Strays,6.5,9600,144,Action
Beverly Hills Cop: Axel F,6.4,82000,118,Action
Canary Black,5.4,12000,101,Action
Arcadian,5.5,24000,92,Action
The Killer's Game,5.8,18000,104,Action
A Complete Unknown,7.3,91000,141,Biography
I'm Still Here,8.2,112000,137,Biography
Better Man,7.6,32000,135,Biography
The Apprentice,7.1,60000,122,Biography
Saturday Night,6.9,33000,109,Biography
Queer,6.4,23000,137,Biography
Maria,6.4,21000,124,Biography
Queen of the Ring,6.3,2100,129,Biography
William Tell,5.7,3100,134,Biography
Ordinary Angels,7.4,16000,118,Biography
Nr. 24,7.5,16000,111,Biography
The Bibi Files,7.5,1300,115,Biography
Young Woman and the Sea,7.5,18000,129,Biography
Back to Black,6.3,27000,122,Biography
The Fire Inside,6.7,3000,109,Biography
Piece by Piece,6.9,6000,93,Biography
Reagan,6.1,12000,141,Biography
The Beach Boys,7.1,2200,113,Biography
Unfrosted,5.5,35000,97,Biography
Joy,7.1,9900,115,Biography
Bob Marley: One Love,6.2,35000,107,Biography
Pavements,7.2,335,128,Biography
Amaran,8.1,19000,167,Biography
Harbin,6.2,947,108,Biography
Boléro,6.6,877,120,Biography
Cabrini,7.3,9100,142,Biography
Scoop,6.5,21000,102,Biography
The Remarkable Life of Ibelin,8.2,13000,103,Biography
Saint-Exupéry,5.4,495,98,Biography
Bonhoeffer: Pastor. Spy. Assassin.,6.2,3900,133,Biography
The Great Lillian Hall,7.3,2100,110,Biography
El 47,7.2,3600,110,Biography
Winner,6.5,2700,103,Biography
Being Maria,6.1,764,100,Biography
Chandu Champion,7.9,34000,142,Biography
One to One: John & Yoko,7.3,597,101,Biography
Monsieur Aznavour,7.3,2800,133,Biography
Maharaj,6.6,15000,131,Biography
Super/Man: The Christopher Reeve Story,8.0,9600,104,Biography
Faith of Angels,5.8,281,98,Biography
Goebbels and the Führer,6.7,2600,135,Biography
Music by John Williams,8.2,5000,105,Biography
Liza: A Truly Terrific Absolutely True Story,7.6,450,104,Biography
Rob Peace,6.5,2200,120,Biography
"From Hilde, with Love",6.9,1100,125,Biography
Riefenstahl,7.1,804,115,Biography
Marco,6.8,1400,101,Biography
La casa,6.9,974,83,Biography
Elton John: Never Too Late,6.5,2000,102,Biography
Bir Cumhuriyet Sarkisi,7.4,1300,128,Biography
The Wild Robot,8.2,180000,102,Animation
Flow,7.9,84000,85,Animation
Mufasa: The Lion King,6.6,70000,118,Animation
Moana 2,6.6,109000,100,Animation
Paddington in Peru,6.7,26000,106,Animation
Transformers One,7.6,54000,104,Animation
Inside Out 2,7.5,222000,96,Animation
Despicable Me 4,6.2,68000,94,Animation
IF,6.4,59000,104,Animation
The Lord of the Rings: The War of the Rohirrim,6.3,33000,134,Animation
Kung Fu Panda 4,6.3,70000,94,Animation
