Movie Name,Rating,Votes,Duration,Genre
The Unholy Trinity,6.1, (424),1h 35m,Action
Gladiator II,6.5, (251K),2h 28m,Action
Dune: Part Two,8.5, (641K),2h 46m,Action
Venom: The Last Dance,6.0, (129K),1h 50m,Action
The Beekeeper,6.3, (162K),1h 45m,Action
Civil War,7.0, (243K),1h 49m,Action
Twisters,6.5, (175K),2h 2m,Action
The Ministry of Ungentlemanly Warfare,6.8, (139K),2h 2m,Action
Deadpool & Wolverine,7.5, (506K),2h 8m,Action
Kraven the Hunter,5.5, (63K),2h 7m,Action
Carry-On,6.5, (171K),1h 59m,Action
The Fall Guy,6.8, (226K),2h 6m,Action
Furiosa: A Mad Max Saga,7.5, (291K),2h 28m,Action
Madame Web,4.0, (103K),1h 56m,Action
Freaky Tales,6.2, (7.1K),1h 47m,Action
Cells at Work!,6.7, (725),1h 49m,Action
Sonic the Hedgehog 3,6.9, (64K),1h 50m,Action
The Count of Monte-Cristo,7.6, (37K),2h 58m,Action
Dirty Angels,4.4, (4K),1h 44m,Action
Rebel Ridge,6.8, (91K),2h 11m,Action
Fight or Flight,6.4, (14K),1h 42m,Action
Borderlands,4.7, (50K),1h 41m,Action
Transformers One,7.6, (54K),1h 44m,Action
Argylle,5.6, (94K),2h 19m,Action
Godzilla x Kong: The New Empire,6.0, (124K),1h 55m,Action
Road House,6.2, (170K),2h 1m,Action
Kingdom of the Planet of the Apes,6.8, (155K),2h 25m,Action
Elevation,5.6, (24K),1h 31m,Action
Damsel,6.1, (111K),1h 50m,Action
Bad Boys: Ride or Die,6.5, (102K),1h 55m,Action
Absolution,5.2, (8.8K),1h 52m,Action
The Prosecutor,6.6, (2.6K),1h 57m,Action
The Union,5.4, (54K),1h 47m,Action
Maharaja,8.4, (70K),2h 21m,Action
Land of Bad,6.6, (52K),1h 53m,Action
The Crow,4.7, (37K),1h 51m,Action
Red One,6.3, (142K),2h 3m,Action
The Lord of the Rings: The War of the Rohirrim,6.3, (33K),2h 14m,Action
The Instigators,6.2, (39K),1h 41m,Action
Kung Fu Panda 4,6.3, (70K),1h 34m,Action
Homestead,5.2, (4.1K),1h 52m,Action
Survive,4.6, (3.1K),1h 30m,Action
Drive-Away Dolls,5.4, (24K),1h 24m,Action
Monkey Man,6.8, (93K),2h 1m,Action
The Killer,5.7, (14K),2h 6m,Action
The Shadow Strays,6.5, (9.6K),2h 24m,Action
Beverly Hills Cop: Axel F,6.4, (82K),1h 58m,Action
Canary Black,5.4, (12K),1h 41m,Action
Arcadian,5.5, (24K),1h 32m,Action
The Killer's Game,5.8, (18K),1h 44m,Action
