Movie Name,Rating,Votes,Duration,Genre
The Wild Robot,8.2, (180K),1h 42m,Animation
Flow,7.9, (84K),1h 25m,Animation
Mufasa: The Lion King,6.6, (70K),1h 58m,Animation
Moana 2,6.6, (109K),1h 40m,Animation
Paddington in Peru,6.7, (26K),1h 46m,Animation
Transformers One,7.6, (54K),1h 44m,Animation
Inside Out 2,7.5, (222K),1h 36m,Animation
Despicable Me 4,6.2, (68K),1h 34m,Animation
IF,6.4, (59K),1h 44m,Animation
The Lord of the Rings: The War of the Rohirrim,6.3, (33K),2h 14m,Animation
Kung Fu Panda 4,6.3, (70K),1h 34m,Animation
Attack on Titan the Movie: The Last Attack,9.2, (17K),2h 25m,Animation
The Day the Earth Blew Up: A Looney Tunes Movie,6.9, (5.4K),1h 31m,Animation
Memoir of a Snail,7.8, (19K),1h 35m,Animation
Harold and the Purple Crayon,5.7, (8.8K),1h 30m,Animation
The Garfield Movie,5.7, (25K),1h 41m,Animation
Solo Leveling: ReAwakening,8.8, (14K),2h 1m,Animation
Spellbound,5.5, (7.9K),1h 49m,Animation
Wallace & Gromit: Vengeance Most Fowl,7.5, (36K),1h 22m,Animation
Spermageddon,5.6, (1K),1h 20m,Animation
Piece by Piece,6.9, (6K),1h 33m,Animation
Look Back,7.8, (16K),58m,Animation
Dan Da Dan: First Encounter,8.2, (2.9K),1h 23m,Animation
Watchmen: Chapter I,7.1, (7K),1h 23m,Animation
Orion and the Dark,6.3, (18K),1h 33m,Animation
Crayon Shin-chan: Our Dinosaur Diary,6.6, (602),1h 46m,Animation
Watchmen: Chapter II,7.1, (3.4K),1h 30m,Animation
The Remarkable Life of Ibelin,8.2, (13K),1h 43m,Animation
Justice League: Crisis on Infinite Earths - Part One,6.2, (8.8K),1h 33m,Animation
I Am What I Am 2,7.5, (361),2h 14m,Animation
Dragonkeeper,5.7, (1.8K),1h 38m,Animation
Justice League: Crisis on Infinite Earths - Part Three,6.0, (4.8K),1h 34m,Animation
My Hero Academia: You're Next,6.9, (2.6K),1h 50m,Animation
The Most Precious of Cargoes,7.1, (1.5K),1h 21m,Animation
Haikyu!! The Dumpster Battle,7.7, (6.5K),1h 25m,Animation
Doraemon the Movie: Nobita's Earth Symphony,6.6, (1.6K),1h 55m,Animation
The Colors Within,7.1, (1.1K),1h 41m,Animation
Overlord: The Sacred Kingdom,6.9, (1.4K),2h 15m,Animation
That Christmas,6.8, (17K),1h 31m,Animation
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.2, (8.8K),1h 44m,Animation
Lesbian Space Princess,7.0, (180),1h 27m,Animation
Hitpig,5.1, (1.1K),1h 26m,Animation
Justice League: Crisis on Infinite Earths - Part Two,5.5, (5.6K),1h 34m,Animation
Ultraman: Rising,6.9, (6.6K),1h 57m,Animation
Night of the Zoopocalypse,6.0, (904),1h 31m,Animation
White Snake: Afloat,6.9, (559),2h 13m,Animation
Given 3: To the Sea,7.6, (127),1h 20m,Animation
Boys Go to Jupiter,6.8, (112),1h 30m,Animation
Frida,7.5, (1.5K),1h 27m,Animation
Blue Lock: Episode Nagi,6.6, (2.6K),1h 31m,Animation
