Movie Name,Rating,Votes,Duration,Genre
No Other Land,8.3, (14K),1h 32m,Documentary
2073,5.0, (3.2K),1h 25m,Documentary
The Bibi Files,7.5, (1.3K),1h 55m,Documentary
The Beach Boys,7.1, (2.2K),1h 53m,Documentary
Pavements,7.2, (335),2h 8m,Documentary
Will & Harper,7.4, (12K),1h 54m,Documentary
Secret Mall Apartment,7.3, (521),1h 31m,Documentary
The Remarkable Life of Ibelin,8.2, (13K),1h 43m,Documentary
Sugarcane,7.0, (3.4K),1h 47m,Documentary
Architecton,6.5, (400),1h 38m,Documentary
Lover Stalker Killer,7.0, (14K),1h 30m,Documentary
One to One: John & Yoko,7.3, (597),1h 41m,Documentary
Cheech & Chong's Last Movie,7.2, (458),2h,Documentary
The Program,7.1, (841),1h 42m,Documentary
The Menendez Brothers,7.0, (9.7K),1h 59m,Documentary
Super/Man: The Christopher Reeve Story,8.0, (9.6K),1h 44m,Documentary
Afternoons of Solitude,7.3, (709),2h 5m,Documentary
Behind the Lines,9.0, (23),1h 47m,Documentary
Moses,8.3, (124),2h 7m,Documentary
The Bloody Hundredth,7.5, (2.7K),1h 2m,Documentary
Black Box Diaries,7.5, (3.7K),1h 42m,Documentary
Harley Flanagan: Wired for Chaos,6.2, (22),1h 39m,Documentary
Music by John Williams,8.2, (5K),1h 45m,Documentary
Soundtrack to a Coup d'Etat,7.8, (3.2K),2h 30m,Documentary
Liza: A Truly Terrific Absolutely True Story,7.6, (450),1h 44m,Documentary
Brats,6.5, (7K),1h 32m,Documentary
Am I Racist?,6.7, (17K),1h 40m,Documentary
Billy & Molly: An Otter Love Story,8.0, (2K),1h 17m,Documentary
Every Little Thing,7.1, (314),1h 33m,Documentary
Buy Now! The Shopping Conspiracy,6.7, (6.7K),1h 24m,Documentary
Riefenstahl,7.1, (804),1h 55m,Documentary
Beatles '64,7.2, (2.7K),1h 46m,Documentary
A Photographic Memory,7.4, (28),1h 27m,Documentary
Yacht Rock: A Dockumentary,7.6, (1.9K),1h 35m,Documentary
Tom Petty: Heartbreakers Beach Party,7.3, (285),1h 24m,Documentary
The Greatest Night in Pop,7.9, (15K),1h 36m,Documentary
Witches,7.4, (1.3K),1h 30m,Documentary
Elton John: Never Too Late,6.5, (2K),1h 42m,Documentary
The Blue Angels,7.2, (2.8K),1h 33m,Documentary
Giannis: The Marvelous Journey,8.3, (1.8K),1h 49m,Documentary
Daughters,7.5, (1.7K),1h 48m,Documentary
Dahomey,6.8, (2.8K),1h 8m,Documentary
Antidote,7.5, (141),1h 29m,Documentary
The Last Journey,7.8, (5.4K),1h 35m,Documentary
Avicii - I'm Tim,7.7, (7.4K),1h 35m,Documentary
The Thinking Game,7.6, (279),1h 24m,Documentary
Frida,7.5, (1.5K),1h 27m,Documentary
Jim Henson: Idea Man,7.7, (3.9K),1h 51m,Documentary
Bambi: A Tale of Life in the Woods,5.6, (245),1h 18m,Documentary
El Apocalipsis de San Juan,6.8, (206),1h 50m,Documentary
